Stock,Price,Beta,Volume,Avg 3 Month Vol,Market Cap,P/E,EPS,MR This Week,MR Last Week,Change,Mean Target,Median Target,High Target,Low Target,Num Brokers
ASTE,37.16,1.42,"57,566","63,960",849.22M,20.96,1.77,2.8,2.8,0.0,34.67,34.50,39.00,31.00,6
PRK,82.91,1.08,"13,783","23,356",1.28B,16.80,4.94,3.0,3.0,0.0,80.00,80.00,83.00,77.00,2
JOB,0.19,1.61,"161,117","31,308",4.35M,N/A,-0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
INXB,7.97,N/A,"99,470","12,959",0,0,0,0,0,0
MBRG,18.10,0.33,"29,542","16,313",128.31M,19.89,0.91,3.0,3.0,0.0,20.00,20.00,20.00,20.00,1
INXBU,8.07,N/A,0,160,0,0,0,0,0,0
INXBW,0.60,N/A,0,N/A,0,0,0,0,0,0
HYLS,51.70,N/A,"19,671","15,476",0,0,0,0,0,0
FCZAP,0.00,N/A,0,N/A,0,0,0,0,0,0
RCPT,30.96,N/A,"250,369","170,803",567.71M,N/A,-2.66,1.5,1.5,0.0,24.25,23.00,30.00,21.00,4
ZIV,38.31,62.42M,"101,746","90,771",0,0,0,0,0,0
UTIW,17.30,1.12,"382,024","521,668",1.81B,N/A,-1.62,2.6,2.6,0.0,17.70,16.00,30.00,13.00,10
CHFN,10.81,0.34,"47,050","59,238",237.53M,36.03,0.30,N/A,N/A,N/A,0.00,0.00,0.00,0.00,0
CHFC,31.30,1.74,"71,604","82,240",932.05M,16.05,1.95,3.0,3.0,0.0,31.00,31.00,32.00,30.00,3
CHI,13.27,N/A,"132,019","163,192",0,0,0,0,0,0
QPACU,10.16,N/A,0,"1,730",0,0,0,0,0,0
XTLB,3.07,-0.5,"2,590","4,962",42.14M,N/A,-0.14,N/A,N/A,N/A,7.50,7.50,8.00,7.00,2
MERU,4.49,1.59,"310,443","169,976",101.71M,N/A,-0.70,2.8,2.8,0.0,3.38,3.38,4.00,2.75,2
ASBB,17.25,0.47,"6,302","6,702",83.48M,63.19,0.27
ASBC,17.18,1.71,"505,257","872,483",2.79B,15.91,1.08,3.1,3.1,0.0,16.19,16.00,18.00,12.00,13
NPN,13.59,N/A,"1,222","6,600",0,0,0,0,0,0
DAKT,15.54,1.41,"225,232","219,181",667.23M,30.29,0.51,1.7,1.7,0.0,20.00,20.00,20.00,20.00,1
CHW,8.89,N/A,"127,745","178,022",0,0,0,0,0,0
CHY,12.99,N/A,"246,982","173,919",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FELE,44.08,1.45,"106,594","158,197",2.10B,26.22,1.68,3.0,2.8,0.2,41.50,41.50,43.00,40.00,2
ASBI,13.30,0.6,12,"2,965",39.75M,17.41,0.76,N/A,N/A,N/A,15.66,15.66,15.66,15.66,1
NNBR,19.64,3.66,"158,924","120,797",342.76M,16.11,1.22,1.5,1.5,0.0,20.00,20.00,20.00,20.00,2
SUPX,24.94,0.79,"32,162","35,060",284.76M,34.02,0.73,2.3,2.3,0.0,28.50,28.50,29.00,28.00,2
AMRN,1.99,1.18,"4,444,331","9,223,290",343.56M,N/A,-1.04,2.5,2.5,0.0,2.58,2.50,4.00,1.60,11
SNAK,13.34,0.34,"35,666","48,868",259.06M,38.11,0.35,1.9,1.9,0.0,14.29,14.38,15.00,13.50,6
BWINA,25.03,0,12,148,373.50M,11.54,2.17
AMRI,10.23,1.81,"312,934","397,584",317.94M,31.09,0.33,3.0,3.0,0.0,12.00,12.00,12.00,12.00,1
BWINB,27.11,0.87,"7,268","25,319",404.54M,12.50,2.17,3.0,3.0,0.0,28.53,28.53,28.53,28.53,1
PESI,3.34,2.06,"21,927","36,911",38.07M,N/A,-0.47,3.0,3.0,0.0,4.25,4.25,4.25,4.25,1
APP,1.27,2.77,"1,309,498","737,022",140.27M,N/A,-0.74,1.5,1.5,0.0,2.75,2.75,3.00,2.50,2
AXAS,3.24,2.81,"510,669","1,328,740",299.67M,N/A,-0.00,1.7,1.7,0.0,4.18,4.00,6.50,3.00,8
BRKL,9.44,0.75,"181,114","361,749",659.46M,16.65,0.57,2.8,2.8,0.0,10.00,10.00,10.00,10.00,3
AMRB,9.66,1.07,"6,570","19,935",85.09M,28.75,0.34,2.8,2.8,0.0,9.50,9.00,11.00,8.50,3
BRKS,10.52,2.09,"287,064","285,170",669.71M,N/A,-0.03,2.6,2.6,0.0,11.00,11.25,13.00,8.00,6
API,0.66,1.4,"121,762","117,011",20.62M,N/A,-0.12,2.0,2.0,0.0,1.50,1.50,1.50,1.50,1
LIWA,5.58,1.4,"133,987","133,924",166.93M,2.86,1.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SUPN,8.05,N/A,"755,909","625,656",272.44M,N/A,-2.79,1.7,1.7,0.0,11.08,12.00,13.00,8.00,6
ORBC,6.20,0.84,"46,293","113,914",295.76M,51.67,0.12,2.0,2.0,0.0,7.08,7.00,7.25,7.00,3
MTRX,24.10,2.75,"92,663","122,189",631.25M,24.59,0.98,2.0,2.0,0.0,26.67,27.00,28.00,25.00,3
AMRS,4.63,1.45,"674,306","331,078",353.13M,N/A,-1.95,3.2,3.0,0.2,2.87,3.00,3.10,2.50,3
DXPE,112.00,1.64,"79,920","76,440",1.59B,29.77,3.76,2.0,2.0,0.0,106.33,116.00,122.00,81.00,3
TNAV,6.47,0.82,"85,815","125,362",252.09M,25.88,0.25,3.0,3.0,0.0,6.00,6.00,6.00,6.00,1
CHSCP,29.27,N/A,"11,300","12,494",0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
WSCI,6.15,-0.25,"3,883","6,429",17.86M,27.94,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TWER,3.00,2.75,"401,542","359,560",199.26M,N/A,-0.39,1.3,1.3,0.0,4.83,5.00,6.00,3.50,3
DXPS,26.69,21.47M,"1,877","19,940",0,0,0,0,0,0
PRPH,1.66,0.3,"81,400","21,405",26.37M,97.65,0.02,N/A,N/A,N/A,15.55,15.55,15.55,15.55,1
ADNC,11.50,N/A,"98,597","159,137",251.72M,30.59,0.38,2.7,2.7,0.0,12.30,13.00,15.00,9.00,5
EWBC,34.60,1.7,"483,293","718,260",4.74B,16.94,2.04,2.5,2.5,0.0,36.53,37.00,42.00,32.00,15
GASS,10.22,1.43,"177,082","223,781",327.57M,11.08,0.92,1.4,1.4,0.0,14.36,14.00,17.00,13.00,7
USMD,20.20,N/A,"1,324","2,668",204.12M,146.38,0.14
SNCR,30.18,2.03,"446,494","411,883",1.18B,108.17,0.28,1.6,1.6,0.0,37.92,38.00,46.00,28.00,13
ITRI,41.54,2.17,"311,547","337,903",1.63B,70.77,0.59,2.4,2.3,0.1,44.00,45.50,52.00,34.00,12
AVGO,52.85,0.97,"1,166,132","2,423,350",13.15B,24.13,2.19,1.9,1.9,0.0,56.88,60.00,65.00,40.00,16
OBAF,18.25,-0.1,"8,178","1,430",68.20M,63.15,0.29
RLYP,25.16,N/A,"82,097","289,909",721.19M,N/A,-2.52,1.3,1.3,0.0,39.00,37.00,57.00,25.00,4
PNFP,31.97,2.44,"70,141","129,962",1.10B,20.36,1.57,2.9,2.9,0.0,32.83,32.50,37.00,30.00,6
WMAR,13.71,1.3,"57,495","47,794",334.03M,39.17,0.35,2.0,2.0,0.0,17.00,17.00,17.00,17.00,1
UCTT,9.99,2.99,"282,131","199,292",284.23M,98.91,0.10,2.0,2.0,0.0,9.50,10.00,11.00,7.00,5
EMKR,5.16,3.32,"71,651","230,114",154.95M,27.59,0.19,2.0,2.0,0.0,8.00,8.25,9.50,6.00,4
MAB,12.26,N/A,837,"10,424",0,0,0,0,0,0,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
LPLA,47.53,1.47,"492,716","516,532",4.96B,28.98,1.64,2.6,2.5,0.1,45.00,47.00,52.00,35.00,9
TCFC,20.80,-0.15,625,"4,475",96.66M,10.05,2.07,2.0,2.0,0.0,23.00,23.00,23.00,23.00,1
PTEK,1.02,0.46,"30,975","20,578",9.49M,N/A,-0.08,3.0,3.0,0.0,1.25,1.25,1.25,1.25,1
HMG,16.83,1.08,"1,973","2,759",17.50M,1.11,15.21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RPRX,19.70,-0.45,"250,326","519,529",453.28M,N/A,-1.48,1.5,1.5,0.0,31.00,32.00,41.00,20.00,6
RICK,11.45,1.27,"67,955","71,729",109.47M,11.90,0.96,1.0,1.0,0.0,14.00,14.00,14.00,14.00,1
DLA,16.21,0.73,"24,620","26,410",127.62M,57.89,0.28,1.5,1.5,0.0,21.00,21.00,21.00,21.00,1
CSOD,53.91,1.25,"261,082","493,387",2.80B,N/A,-0.73,2.1,2.1,0.0,55.79,56.00,65.00,45.00,14
AFH,14.00,N/A,"27,762","44,905",123.33M,19.13,0.73,1.8,1.8,0.0,14.00,14.00,15.00,13.00,3
ARDNA,126.35,0.81,"3,207","2,738",388.02M,20.46,6.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
BOBE,50.62,0.8,"171,933","236,267",1.34B,N/A,-0.54,2.4,2.4,0.0,58.33,58.00,67.00,52.00,6
STRT,44.57,0.75,"4,481","9,990",154.03M,16.11,2.77,2.0,2.0,0.0,42.00,42.00,42.00,42.00,1
MBIS,3.10,2.98,"28,583","186,733",18.67M,N/A,-1.38,N/A,N/A,N/A,1.30,1.30,1.30,1.30,1
ORLY,129.04,0.47,"472,932","737,135",13.85B,23.91,5.40,2.3,2.3,0.0,135.00,135.00,150.00,119.00,18
CRESY,9.90,1.75,"58,232","93,259",484.35M,N/A,-0.48,2.7,2.7,0.0,15.13,17.00,18.50,9.90,3
AXDX,11.59,1.32,"116,502","97,271",480.63M,N/A,-0.39,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HWAY,15.63,0.2,"460,431","800,921",547.99M,N/A,-0.08,2.7,2.7,0.0,13.86,13.00,22.00,8.00,7
JGBB,50.50,N/A,1,636,0,0,0,0,0,0
CRESW,0.08,N/A,"5,900",N/A,0,0,0,0,0,0
ROIAK,5.10,2.8,"777,012","149,038",241.94M,N/A,-1.28,1.0,1.0,0.0,2.25,2.25,2.25,2.25,1
SSY,0.88,0.82,"22,931","17,308",8.31M,1.75,0.50,N/A,N/A,N/A,2.35,2.35,2.35,2.35,1
VKI,10.55,N/A,"107,120","162,913",0,0,0,0,0,0,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
JOEZ,1.12,1.36,"920,177","472,475",75.63M,N/A,-0.05,3.0,3.0,0.0,1.45,1.45,1.60,1.30,2
CBAN,6.04,0.3,539,"4,011",50.97M,28.76,0.21,N/A,N/A,N/A,10.00,10.00,10.00,10.00,1
SAAS,8.54,1.33,"287,761","289,781",473.50M,N/A,-0.12,2.3,2.3,0.0,10.50,10.50,12.00,9.00,4
BTX,3.67,1.25,"299,788","188,868",204.13M,N/A,-0.49,2.0,2.0,0.0,N/A,N/A,N/A,N/A,N/A
CBAK,2.35,2.52,"114,867","137,344",29.65M,N/A,-6.25
BTG,2.14,N/A,"900,183","1,561,050",1.39B,28.16,0.08
SSN,0.42,2.11,"262,047","556,246",53.31M,N/A,-0.10,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
SSH,10.26,N/A,"169,112","265,970",172.77M,N/A,-1.77,1.6,1.6,0.0,14.47,14.88,16.00,12.00,8
LARK,19.85,0.05,"3,403","1,894",61.18M,10.75,1.85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RVLT,3.72,5.24,"2,171,672","1,084,780",303.69M,N/A,-0.27,N/A,N/A,N/A,3.00,3.00,3.00,3.00,1
BTN,4.73,1.36,"35,360","69,511",66.26M,19.71,0.24
BTI,105.23,0.82,"247,497","262,505",100.34B,16.08,6.54,1.0,1.0,0.0,120.50,120.50,125.00,116.00,2
CREE,62.46,1.75,"1,679,055","2,239,150",7.46B,73.48,0.85,2.6,2.6,0.0,66.05,70.00,80.00,30.00,20
CREG,3.50,3.58,"132,768","95,671",213.16M,14.58,0.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MFNC,9.95,0.74,"28,869","3,995",55.53M,15.19,0.66,N/A,N/A,N/A,6.00,6.00,6.00,6.00,1
DYNT,4.18,1.87,"2,404","16,024",10.53M,N/A,-0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GKNT,18.45,-0.06,"9,952","17,433",122.47M,161.84,0.11,1.5,1.5,0.0,24.00,24.00,24.00,24.00,1
JBSS,23.95,0.8,"34,332","29,541",261.87M,12.59,1.90,1.0,1.0,0.0,0.00,0.00,0.00,0.00,0
WYY,1.63,0.76,"898,737","698,914",104.09M,85.79,0.02,1.5,1.5,0.0,2.40,2.40,2.40,2.40,1
VGSH,60.83,457.49M,"23,368","51,513",0,0,0,0,0,0
STRP,8.25,N/A,"28,569","8,630",97.04M,N/A,-0.20
PGTI,10.88,1.24,"1,515,911","551,829",509.35M,24.50,0.44,1.7,1.7,0.0,12.17,12.25,15.00,9.00,6
SYNL,15.23,0.55,"2,084","29,054",132.30M,16.92,0.90,2.0,2.0,0.0,21.50,21.50,23.00,20.00,2
CNET,0.84,0.13,"26,586","43,283",18.80M,6.51,0.13,3.0,3.0,0.0,2.50,2.50,2.50,2.50,1
ECF,8.13,0.73,"44,921","41,756",109.83M,6.18,1.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SNDK,68.86,1.47,"2,288,489","4,036,970",15.55B,18.21,3.78,2.2,2.2,0.0,74.08,75.00,90.00,56.00,31
LAND,16.06,N/A,"57,534","24,384",104.87M,259.03,0.06,2.0,2.0,0.0,18.50,18.50,19.00,18.00,4
LANC,87.01,0.51,"96,225","83,776",2.37B,22.20,3.92,3.0,3.0,0.0,82.00,82.00,82.00,82.00,1
EXPO,77.38,0.72,"39,403","42,162",1.01B,28.47,2.72,2.5,2.5,0.0,74.33,74.00,79.00,70.00,3
LGND,52.02,1.24,"200,750","341,756",1.06B,100.23,0.52,2.0,2.0,0.0,64.00,67.00,75.00,44.00,6
HBMD,9.42,0.56,0,"1,129",38.06M,24.66,0.38
LNG,42.36,5.46,"4,208,704","3,748,040",9.35B,N/A,-2.15,1.8,1.8,0.0,44.33,43.50,52.00,39.00,6
AREX,18.91,2.54,"634,171","911,787",737.70M,105.06,0.18,2.4,2.4,0.0,28.65,28.00,42.00,17.00,23
DGII,12.30,1.27,"74,188","78,891",316.68M,55.91,0.22,2.5,2.5,0.0,12.75,12.75,15.00,10.50,2
ETFC,20.30,2.34,"3,360,212","2,980,070",5.83B,N/A,-0.55,3.0,3.0,0.0,17.86,18.00,23.00,14.00,11
CRWS,7.97,1.07,"9,412","22,924",78.60M,14.54,0.55,1.5,1.5,0.0,9.00,9.00,9.00,9.00,1
GSVC,12.19,N/A,"286,519","862,348",0,0,0,0,0,0,1.3,1.3,0.0,18.25,18.75,20.00,16.00,3
TRIB,24.60,0.84,"40,750","75,791",541.50M,59.28,0.42,2.0,2.0,0.0,28.50,29.00,34.00,22.00,4
CTWS,35.04,0.32,"42,940","34,435",386.07M,20.49,1.71,1.6,1.6,0.0,36.00,36.50,37.00,34.00,4
CRWN,3.51,1.01,"86,554","78,597",1.26B,11.36,0.31,N/A,N/A,N/A,2.00,2.00,2.00,2.00,1
TRIT,1.44,1.71,0,"96,868",12.17M,N/A,-0.58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
SHIP,1.89,3.21,"17,700","30,986",22.60M,N/A,-14.87,1.0,1.0,0.0,5.00,5.00,5.00,5.00,1
BSQR,3.62,1.81,"41,723","32,589",40.66M,N/A,-0.41,N/A,N/A,N/A,1.47,1.47,1.47,1.47,1
RELV,2.78,2.86,"2,805","14,537",35.07M,49.64,0.06,N/A,N/A,N/A,3.00,3.00,3.00,3.00,1
SLM,26.26,1.24,"1,870,745","2,695,610",11.46B,8.05,3.26,2.0,2.0,0.0,28.11,28.00,30.00,25.00,9
VMM,12.47,N/A,"14,838","33,519",0,0,0,0,0,0
SPAN,20.53,0.27,"1,210","4,727",60.09M,12.15,1.69,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
SOCB,5.80,0.42,"3,664","8,454",41.09M,4.24,1.37,N/A,N/A,N/A,18.18,18.18,18.18,18.18,1
IKNX,14.75,0.21,99,"1,313",29.62M,49.33,0.30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVY,12.41,N/A,"38,523","17,621",0,0,0,0,0,0
RMGN,5.20,-0.36,"63,606","35,814",61.21M,19.26,0.27,2.0,2.0,0.0,10.00,10.00,10.00,10.00,1
CPGI,0.84,0.97,"127,282","23,452",32.58M,10.77,0.08,N/A,N/A,N/A,3.50,3.50,3.50,3.50,1
SOCL,21.22,N/A,"114,374","238,500",0,0,0,0,0,0
DNKN,47.43,0.41,"610,922","1,142,380",5.06B,36.82,1.29,2.3,2.3,0.0,50.60,51.50,59.00,39.00,20
ADXS,3.95,1.45,"346,574","245,253",46.55M,N/A,-3.91,2.0,2.0,0.0,0.50,0.50,0.50,0.50,1
YDIV,20.25,5.19M,"1,221","4,732",0,0,0,0,0,0
SPAR,6.70,1.4,"63,092","93,891",228.74M,N/A,-0.17,2.5,2.5,0.0,7.08,7.00,8.00,6.25,3
ALCO,38.50,1.3,"21,212","14,371",280.05M,14.42,2.67,3.0,3.0,0.0,35.00,35.00,35.00,35.00,1
VGIT,62.80,338.69M,"23,288","21,930",0,0,0,0,0,0
WYNN,196.00,1.73,"1,169,540","1,285,140",19.73B,31.73,6.18,2.3,2.3,0.0,182.39,178.50,215.00,145.00,24
STMP,41.77,1.19,"116,093","138,229",672.50M,19.52,2.14,2.5,2.5,0.0,51.63,51.63,56.00,47.25,2
ANSS,85.60,0.86,"320,645","296,703",7.93B,36.12,2.37,2.5,2.5,0.0,87.11,86.00,100.00,74.00,9
NBIX,9.65,0.78,"448,685","666,379",649.86M,N/A,-0.39,1.7,1.7,0.0,15.89,16.00,19.00,13.00,9
STML,19.96,N/A,"127,690","183,576",252.67M,N/A,-2.23,1.4,1.4,0.0,47.83,52.00,70.00,9.00,6
KRNY,11.59,0.6,"67,778","54,065",763.58M,105.36,0.11,3.0,3.0,0.0,10.00,10.00,10.00,10.00,1
NKSH,36.35,0.72,"11,532","10,022",252.52M,14.20,2.56,3.0,3.0,0.0,30.00,30.00,30.00,30.00,1
ALCS,9.25,0.3,"1,983","12,481",30.14M,N/A,-4.87,N/A,N/A,N/A,13.83,13.83,13.83,13.83,1
HMHC,17.07,N/A,"59,615","505,329",2.39B,N/A,-0.58,1.8,1.8,0.0,20.50,20.50,22.00,19.00,6
OINK,2.17,2.94,"209,554","130,027",30.30M,N/A,-0.08
MMYT,20.39,2.12,"92,543","54,597",768.01M,N/A,-1.13
BIIB,277.40,1.42,"655,988","1,200,430",65.53B,38.97,7.12,2.1,2.1,0.0,296.16,291.00,375.00,236.00,25
CAMP,27.56,0.63,"522,079","598,014",969.31M,23.06,1.20,1.8,1.8,0.0,28.67,29.00,33.00,23.00,6
BKMU,7.02,2.28,"72,315","92,249",325.95M,31.91,0.22,3.0,3.0,0.0,6.88,6.88,7.00,6.75,2
PHIIK,42.91,1.17,"20,162","21,429",663.95M,17.46,2.46,3.0,3.0,0.0,N/A,N/A,N/A,N/A,N/A
HOTRW,0.90,N/A,0,"4,379",0,0,0,0,0,0
IMH,5.84,0.9,"38,363","48,508",51.88M,N/A,-0.59,N/A,N/A,N/A,3.00,3.00,3.00,3.00,1
CCCR,7.84,N/A,"35,565","57,919",81.77M,10.45,0.75
FUBC,7.52,1,"66,056","54,144",257.85M,42.25,0.18,2.4,2.4,0.0,8.15,8.25,8.50,7.50,5
OSTK,28.62,-0.02,"251,174","305,414",680.41M,29.38,0.97,3.5,3.5,0.0,23.25,23.25,28.00,18.50,2
VCF,12.48,N/A,"2,642","21,616",0,0,0,0,0,0
OMCL,25.23,0.57,"122,432","264,700",898.54M,39.42,0.64,2.3,2.3,0.0,26.43,27.00,28.00,23.00,7
VASC,23.16,0.17,"30,135","53,438",389.83M,36.82,0.63,1.7,1.7,0.0,22.67,23.00,25.00,20.00,3
SMED,4.35,0.66,"20,324","67,330",66.70M,N/A,-0.13,1.3,1.3,0.0,5.00,5.00,6.00,4.00,2
TSEM,5.75,2.18,"97,541","144,717",267.94M,N/A,-3.09,2.0,2.0,0.0,10.00,10.00,10.00,10.00,1
SPWR,32.73,3.65,"3,332,585","3,311,950",3.97B,N/A,-0.60,2.6,2.6,0.0,32.42,32.00,40.00,18.00,12
IMO,43.64,1.39,"235,364","162,917",36.99B,12.82,3.40,3.2,3.2,0.0,47.30,48.00,50.98,42.50,5
FWRD,43.60,1.33,"88,613","103,251",1.33B,24.13,1.81,2.7,2.7,0.0,42.38,42.00,49.00,35.00,8
EHTH,48.61,0.86,"331,068","302,321",905.17M,167.04,0.29,2.2,2.2,0.0,41.50,43.00,58.00,12.00,8
CCCL,2.41,1.84,"23,635","65,102",49.24M,14.18,0.17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PDO,5.04,1.29,774,"12,862",23.63M,N/A,-0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AIRI,9.03,0.55,"1,005",508,52.77M,13.70,0.66,2.0,2.0,0.0,10.50,10.50,10.50,10.50,1
TLF,9.83,0.84,"21,294","10,689",100.25M,14.31,0.69,1.0,1.0,0.0,3.50,3.50,3.50,3.50,1
AIRM,57.85,0.92,"247,376","340,248",2.26B,32.14,1.80,1.6,1.6,0.0,57.43,57.00,66.00,48.00,7
KIRK,23.49,1.67,"108,582","136,040",406.28M,25.34,0.93,2.0,2.0,0.0,27.00,28.00,28.00,24.00,5
MRVL,14.16,0.81,"2,691,358","6,537,680",6.97B,27.55,0.51,2.6,2.6,0.0,14.89,15.00,20.00,9.00,29
AIRT,11.95,0.68,850,"3,906",29.23M,18.13,0.66,1.0,1.0,0.0,N/A,N/A,N/A,N/A,N/A
WIBC,10.83,1.88,"305,990","423,060",766.57M,15.70,0.69,2.0,2.0,0.0,10.75,10.75,12.00,9.00,6
MOCO,16.01,0.12,"3,568","18,308",88.84M,23.86,0.67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NICE,40.14,1.03,"181,786","148,840",2.43B,39.24,1.02,2.1,2.1,0.0,43.67,44.00,48.00,35.00,12
ENTA,28.86,N/A,"114,117","195,619",518.35M,N/A,-0.67,1.8,1.8,0.0,31.00,29.00,36.00,28.00,3
SKUL,7.37,1.62,"293,293","309,827",204.72M,42.60,0.17,3.4,3.4,0.0,5.64,5.50,7.50,4.00,7
NPBC,11.22,0.98,"448,268","702,917",1.64B,28.70,0.39,2.9,2.9,0.0,11.25,11.00,12.00,10.50,6
ENTG,11.44,2.1,"305,722","591,716",1.59B,24.34,0.47,2.1,2.1,0.0,11.45,12.00,13.00,10.00,10
SRCE,31.10,1,"37,000","37,865",756.41M,14.31,2.17,3.0,3.0,0.0,31.00,31.00,31.00,31.00,1
HIFS,78.20,0.58,"1,539","3,665",166.41M,12.57,6.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DGRW,27.58,N/A,"44,979","40,233",0,0,0,0,0,0
ZAGG,4.38,1.74,"162,235","350,990",137.23M,19.21,0.23,3.0,3.0,0.0,4.62,4.50,5.50,4.00,5
DGRS,28.26,N/A,"20,428","9,924",0,0,0,0,0,0
CHEF,29.24,2.03,"60,614","104,748",731.47M,38.99,0.75,1.0,1.0,0.0,23.67,24.00,24.00,23.00,3
HAST,1.99,0.47,283,"5,122",16.20M,N/A,-1.40,3.0,3.0,0.0,5.00,5.00,5.00,5.00,1
ENTR,4.74,2.73,"404,473","619,684",432.56M,N/A,-0.47,3.1,3.1,0.0,4.33,4.00,6.00,3.50,8
WHLR,4.38,N/A,"41,344","26,862",31.19M,N/A,-1.07
DGRE,24.02,17.46M,"50,148","9,221",0,0,0,0,0,0
PAL,0.80,2.7,"5,953,847","2,317,990",157.69M,N/A,-0.50,3.4,3.4,0.0,1.04,0.95,1.50,0.60,7
CKX,14.97,0.39,0,297,29.07M,18.15,0.83
CFNL,17.80,1.23,"82,187","157,738",539.06M,16.59,1.07,2.7,2.7,0.0,18.30,18.00,20.00,16.50,5
THRM,25.84,2.12,"242,479","342,965",896.36M,35.30,0.73,1.8,1.8,0.0,23.67,24.00,25.00,22.00,3
PERF,6.75,1.2,"11,346","8,324",103.70M,N/A,-2.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AWX,5.26,1.36,"6,518","2,451",20.00M,48.25,0.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMSG,45.70,1.1,"136,685","139,544",1.47B,20.90,2.19,2.9,2.9,0.0,44.00,45.00,52.00,29.00,9
AMSF,41.64,1.09,"62,907","59,991",765.97M,22.01,1.89,2.2,2.2,0.0,44.20,45.00,50.00,39.00,5
PERI,12.95,2.57,"251,945","241,975",161.46M,60.51,0.21
LKFN,38.71,0.85,"76,001","66,389",633.33M,17.44,2.22,2.0,2.0,0.0,39.00,40.00,40.00,35.00,5
CDNS,14.17,1.26,"4,180,706","3,929,220",4.08B,9.38,1.51,1.7,1.8,17.20,17.00,21.00,15.00,10
CFNB,15.57,0.67,"2,414","7,887",162.66M,21.33,0.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIVE,4.88,1.32,"212,015","41,432",17.15M,N/A,-2.01,N/A,N/A,N/A,1.50,1.50,1.50,1.50,1
THRX,36.37,0.7,"819,150","902,521",4.02B,N/A,-1.53,1.9,1.9,0.0,42.00,47.00,52.00,13.00,7
UAMY,1.99,1.97,"36,253","46,816",124.62M,N/A,-0.03,2.0,2.0,0.0,3.00,3.00,3.00,3.00,1
PERY,15.98,1.92,"79,339","140,681",239.56M,24.58,0.65,2.4,2.4,0.0,20.43,20.00,26.00,15.00,7
GBCI,29.57,1.74,"323,111","317,836",2.20B,23.89,1.24,2.9,2.9,0.0,30.50,30.00,37.00,27.00,7
SIGA,3.35,2.94,"79,709","222,316",177.55M,N/A,-0.30,1.0,1.0,0.0,7.75,7.75,11.00,4.50,2
FCAP,20.88,-0.06,832,621,58.13M,11.45,1.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRRX,1.74,1.14,"510,079","662,914",177.61M,N/A,-0.23,1.5,1.5,0.0,2.50,2.50,2.50,2.50,1
TWGP,2.94,0.57,"4,519,442","3,240,510",168.84M,N/A,-7.21,2.7,2.7,0.0,4.93,5.00,6.90,3.75,5
SIGI,26.44,1.4,"115,759","149,795",1.47B,18.16,1.46,2.7,2.7,0.0,29.75,28.00,36.00,27.00,4
SGNT,25.30,1.27,"96,896","200,284",803.83M,27.89,0.91,2.4,2.4,0.0,24.67,25.50,27.00,21.00,6
WEN,8.68,0.79,"3,505,724","6,635,970",3.40B,91.37,0.10,2.7,2.7,0.0,7.30,7.38,9.00,4.50,16
PXLW,5.82,0.69,"2,398,236","470,279",127.87M,N/A,-0.65,2.0,2.0,0.0,6.00,6.00,6.00,6.00,1
PSDV,3.98,1.32,"90,685","536,230",107.31M,N/A,-0.55,1.5,1.5,0.0,6.50,6.50,7.00,6.00,2
CSPI,8.03,0.45,"4,018","14,165",28.68M,80.30,0.10,3.0,3.0,0.0,65.00,65.00,65.00,65.00,1
SNMX,5.15,1.62,"106,522","121,243",210.06M,N/A,-0.27,1.7,1.7,0.0,4.25,4.25,4.50,4.00,2
VMBS,51.04,708.52M,"211,368","134,259",0,0,0,0,0,0
GLOW,1.33,-0.18,"2,237","32,943",45.76M,N/A,-0.05,1.0,1.0,0.0,3.54,3.54,3.54,3.54,1
